id,name,age,gender,wrist_width,x,y,physical_pin,visual_pin,type,response
,,,,,,,,,,
1,wjl,27,F,38,349,903,2,107,d,0
2,wjl,27,F,38,423,690,2,96,d,1
3,wjl,27,F,38,296,894,2,107,d,0
4,wjl,27,F,38,224,676,2,96,d,0
5,wjl,27,F,38,432,865,2,85,d,1
6,wjl,27,F,38,299,689,2,96,d,0
7,wjl,27,F,38,240,889,2,85,d,1
8,wjl,27,F,38,546,699,2,92,d,0
9,wjl,27,F,38,203,845,2,85,d,1
10,wjl,27,F,38,537,893,2,92,d,0
11,wjl,27,F,38,449,666,2,85,d,1
12,wjl,27,F,38,256,902,2,92,d,0
13,wjl,27,F,38,442,743,2,89,d,1
14,wjl,27,F,38,399,919,2,92,d,1
15,wjl,27,F,38,430,699,2,95,d,0
16,wjl,27,F,38,308,869,2,92,d,0
17,wjl,27,F,38,376,678,2,89,d,1
18,wjl,27,F,38,450,884,2,92,d,1
19,wjl,27,F,38,448,669,2,95,d,0
20,wjl,27,F,38,352,839,2,92,d,1
21,wjl,27,F,38,546,673,1,13,a,1
22,wjl,27,F,38,493,918,1,10,a,0
23,wjl,27,F,38,554,624,1,13,a,1
24,wjl,27,F,38,284,626,1,10,a,0
25,wjl,27,F,38,532,846,1,13,a,0
26,wjl,27,F,38,441,668,1,16,a,0
27,wjl,27,F,38,588,889,1,19,a,1
28,wjl,27,F,38,239,869,1,16,a,0
29,wjl,27,F,38,174,678,1,18,a,1
30,wjl,27,F,38,520,674,1,16,a,0
31,wjl,27,F,38,190,740,1,18,a,0
32,wjl,27,F,38,236,926,1,20,a,1
33,wjl,27,F,38,445,857,1,18,a,1
34,wjl,27,F,38,323,681,1,16,a,1
35,wjl,27,F,38,271,947,1,14,a,0
36,wjl,27,F,38,462,750,1,16,a,1
37,wjl,27,F,38,527,954,1,15,a,1
38,wjl,27,F,38,565,713,1,14,a,1
39,wjl,27,F,38,169,861,1,13,a,0
40,wjl,27,F,38,552,824,1,14,a,1
41,wjl,27,F,38,581,626,1,13,a,0
42,wjl,27,F,38,267,935,1,14,a,1
43,wjl,27,F,38,362,684,1,13,a,1
44,wjl,27,F,38,342,874,1,12,a,0
45,wjl,27,F,38,248,888,1,44,d,1
46,wjl,27,F,38,168,709,1,47,d,0
47,wjl,27,F,38,546,820,1,44,d,0
48,wjl,27,F,38,291,642,1,41,d,0
49,wjl,27,F,38,269,892,1,38,d,0
50,wjl,27,F,38,243,647,1,35,d,1
51,wjl,27,F,38,463,678,1,38,d,1
52,wjl,27,F,38,224,905,1,41,d,0
53,wjl,27,F,38,530,923,1,38,d,0
54,wjl,27,F,38,608,688,1,35,d,1
55,wjl,27,F,38,239,649,1,38,d,0
56,wjl,27,F,38,352,874,1,36,d,0
57,wjl,27,F,38,200,694,1,34,d,1
58,wjl,27,F,38,327,869,1,36,d,1
59,wjl,27,F,38,550,924,1,38,d,0
60,wjl,27,F,38,184,882,1,36,d,1
61,wjl,27,F,38,375,941,1,38,d,1
62,wjl,27,F,38,376,722,1,40,d,0
63,wjl,27,F,38,335,915,1,38,d,1
64,wjl,27,F,38,161,826,1,39,d,1
65,wjl,27,F,38,193,635,1,40,d,0
66,wjl,27,F,38,160,889,1,39,d,0
67,wjl,27,F,38,188,661,1,38,d,1
68,wjl,27,F,38,411,691,1,39,d,0
69,wjl,27,F,38,417,916,1,38,d,0
70,wjl,27,F,38,580,750,1,37,d,1
71,wjl,27,F,38,546,943,1,38,d,1
72,wjl,27,F,38,168,893,1,39,d,1
73,wjl,27,F,38,429,852,1,40,d,1
74,wjl,27,F,38,606,942,1,41,d,1
75,wjl,27,F,38,272,640,1,42,d,0
